Resource Type,Plain Text,Check Type,Check Template,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
azurerm_application_gateway,"If azurerm_application_gateway.a.frontend_ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku == Standard",COMBO,ReferenceThenConstantComboUp,azurerm_application_gateway.frontend_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku == Standard,,,,,
azurerm_application_gateway,"If azurerm_application_gateway.a.gateway_ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then azurerm_application_gateway.a is the only resource that directly depends on azurerm_subnet.b",TOPO,ReferenceThenExclusive,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.PLACEHOLDER == String,azurerm_subnet.PLACEHOLDER == String,,,,
azurerm_application_gateway,"If there is azurerm_application_gateway.a.sku.tier == WAF_v2, Then azurerm_application_gateway.a.request_routing_rule.priority is not null nor empty",ATTR,ConstantThenExistence,azurerm_application_gateway.sku.tier == WAF_v2,azurerm_application_gateway.request_routing_rule.priority == Existence,,,,,,
azurerm_bastion_host,"If azurerm_bastion_host.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_bastion_host.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_bastion_host.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_bastion_host.location == String,azurerm_virtual_network.location == String,,,,
azurerm_bastion_host,"If azurerm_bastion_host.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_bastion_host.a is the only resource that directly depends on azurerm_public_ip.b",TOPO,ReferenceThenExclusive,azurerm_bastion_host.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_bastion_host.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,,,,
azurerm_bastion_host,"If there is azurerm_bastion_host.a.shareable_link_enabled == true, Then there is azurerm_bastion_host.a.sku == Standard",ATTR,ConstantThenConstant,azurerm_bastion_host.shareable_link_enabled == true,azurerm_bastion_host.sku == Standard,,,,,,
azurerm_bastion_host,"If there is azurerm_bastion_host.a.sku == Basic, Then there is azurerm_bastion_host.a.ip_connect_enabled == false",ATTR,ConstantThenConstant,azurerm_bastion_host.sku == Basic,azurerm_bastion_host.ip_connect_enabled == false,,,,,,
azurerm_cosmosdb_account,"If azurerm_cosmosdb_account.a.geo_location.location != azurerm_cosmosdb_account.a.geo_location.location, Then azurerm_cosmosdb_account.a.geo_location.failover_priority != azurerm_cosmosdb_account.a.geo_location.failover_priority",ATTR,UnequalThenUnequal,azurerm_cosmosdb_account.geo_location.location == String,azurerm_cosmosdb_account.geo_location.location == String,azurerm_cosmosdb_account.geo_location.failover_priority == String,azurerm_cosmosdb_account.geo_location.failover_priority == String,,,,
azurerm_cosmosdb_account,"If there is azurerm_cosmosdb_account.a.kind == MongoDB, Then there cannot be azurerm_cosmosdb_account.a.capabilities.name == EnableGremlin",ATTR,ConstantThenNonConstant,azurerm_cosmosdb_account.kind == MongoDB,azurerm_cosmosdb_account.capabilities.name == EnableGremlin,,,,,,
azurerm_cosmosdb_account,"If there is azurerm_cosmosdb_account.a.kind == MongoDB, Then there cannot be azurerm_cosmosdb_account.a.capabilities.name == EnableTable",ATTR,ConstantThenNonConstant,azurerm_cosmosdb_account.kind == MongoDB,azurerm_cosmosdb_account.capabilities.name == EnableTable,,,,,,
azurerm_express_route_circuit,"If both azurerm_express_route_circuit.a.resource_group_name and azurerm_express_route_circuit.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_express_route_circuit.a.name != azurerm_express_route_circuit.b.name",COMBO,BranchThenUnequalCombo,azurerm_express_route_circuit.resource_group_name == String,azurerm_express_route_circuit.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_express_route_circuit.name == String,azurerm_express_route_circuit.name == String,,
azurerm_firewall,"If azurerm_firewall.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_firewall.a.location == azurerm_public_ip.b.location",COMBO,ReferenceThenEqualCombo,azurerm_firewall.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_firewall.location == String,azurerm_public_ip.location == String,,,,
azurerm_firewall,"If azurerm_firewall.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then there is azurerm_subnet.b.name == AzureFirewallSubnet",COMBO,ReferenceThenConstantComboUp,azurerm_firewall.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.name == AzureFirewallSubnet,,,,,
azurerm_firewall,"If azurerm_firewall.a.management_ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_firewall.a is the only resource that directly depends on azurerm_public_ip.b",TOPO,ReferenceThenExclusive,azurerm_firewall.management_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_firewall.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,,,,
azurerm_firewall,"If azurerm_firewall.a.management_ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku == Standard",COMBO,ReferenceThenConstantComboUp,azurerm_firewall.management_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku == Standard,,,,,
azurerm_firewall_network_rule_collection,"If azurerm_firewall_network_rule_collection.a.rule.source_addresses is not null nor empty, Then azurerm_firewall_network_rule_collection.a.rule.name != azurerm_firewall_network_rule_collection.a.rule.name",ATTR,ExistenceThenUnequal,azurerm_firewall_network_rule_collection.rule.source_addresses == Existence,azurerm_firewall_network_rule_collection.rule.name == String,azurerm_firewall_network_rule_collection.rule.name == String,,,,,
